ISO3,Countries_and_areas,Region,Sub-region,Income_Group,Total,Residence_Rural,Residence_Urban,Wealth_quintile_Poorest,Wealth_quintile_Richest,Data_source,Time_period
AGO,Angola,SSA,ESA,Lower middle income (LM),0.15,0.02,0.22,0.0,0.61,Demographic and Health Survey,2015-16
ARM,Armenia,ECA,EECA,Upper middle income (UM),0.81,0.69,0.89,0.46,0.99,Demographic and Health Survey,2015-16
BGD,Bangladesh,SA,SA,Lower middle income (LM),0.34,0.3,0.49,0.07,0.75,Multiple Indicator Cluster Survey,2019
BRB,Barbados,LAC,LAC,High income (H),0.63,0.54,0.68,0.09,0.97,Multiple Indicator Cluster Survey,2012
BEN,Benin,SSA,WCA,Low income (L),0.03,0.01,0.06,0.0,0.14,Demographic and Health Survey,2017-18
BIH,Bosnia and Herzegovina,ECA,EECA,Upper middle income (UM),0.51,0.43,0.68,0.03,0.95,Multiple Indicator Cluster Survey,2011-12
BRA,Brazil,LAC,LAC,Upper middle income (UM),0.82,0.49,0.88,0.86,1.0,"Brazil Continuous National Household Sample Survey (Continuous PNAD) 2018, IBGE.",2018
BGR,Bulgaria,ECA,EECA,Upper middle income (UM),0.73,0.65,0.77,0.24,0.98,Bulgarian Longitudinal Inclusive Society Survey (BLISS) 2013,2013
BFA,Burkina Faso,SSA,WCA,Low income (L),0.01,0.01,0.03,0.01,0.04,Demographic and Health Survey,2010
CMR,Cameroon,SSA,WCA,Lower middle income (LM),0.04,0.0,0.09,0.0,0.22,Multiple Indicator Cluster Survey,2014
CAF,Central African Republic,SSA,WCA,Low income (L),0.03,0.01,0.08,0.0,0.15,Multiple Indicator Cluster Survey,2018-19
TCD,Chad,SSA,WCA,Low income (L),0.02,0.01,0.08,0.0,0.09,Multiple Indicator Cluster Survey,2019
CHL,Chile,LAC,LAC,High income (H),0.86,0.69,0.88,0.71,0.99,CASEN,2017
COL,Colombia,LAC,LAC,Upper middle income (UM),0.33,0.04,0.45,0.01,0.98,Demographic and Health Survey,2015-16
CRI,Costa Rica,LAC,LAC,Upper middle income (UM),0.7,0.61,0.74,0.44,0.99,Multiple Indicator Cluster Survey,2018
CIV,Côte d'Ivoire,SSA,WCA,Lower middle income (LM),0.02,0.0,0.05,0.0,0.13,Multiple Indicator Cluster Survey,2016
CUB,Cuba,LAC,LAC,Upper middle income (UM),0.05,0.02,0.06,0.16,0.0,Multiple Indicator Cluster Survey,2019
COD,Democratic Republic of the Congo,SSA,WCA,Low income (L),0.01,0.0,0.02,0.0,0.03,Multiple Indicator Cluster Survey,2017-18
DJI,Djibouti,SSA,ESA,Lower middle income (LM),0.04,0.01,0.08,0.01,0.32,Enquête Djiboutienne Auprès des Ménages pour les Indicateurs Sociaux 2012 - Données pour utilisation publique,2012
DOM,Dominican Republic,LAC,LAC,Upper middle income (UM),0.24,0.09,0.29,0.0,0.78,Multiple Indicator Cluster Survey,2014
GMB,Gambia,SSA,WCA,Low income (L),0.64,0.46,0.74,0.25,0.93,Multiple Indicator Cluster Survey,2018
GEO,Georgia,ECA,EECA,Upper middle income (UM),0.84,0.7,0.93,0.46,0.99,Multiple Indicator Cluster Survey,2018
GHA,Ghana,SSA,WCA,Lower middle income (LM),0.16,0.1,0.25,0.02,0.52,Multiple Indicator Cluster Survey,2017-18
GTM,Guatemala,LAC,LAC,Upper middle income (UM),0.08,0.02,0.16,0.0,0.43,Demographic and Health Survey,2014-15
GNB,Guinea-Bissau,SSA,WCA,Low income (L),0.02,0.01,0.04,0.0,0.05,Multiple Indicator Cluster Survey,2018-19
