"YR_MO","CALL_DATE","AGENT_KEY","CALLS","HANDLE_TIME","CALL_REGEN","CALLS_WITH_OFFER","CALLS_WITH_ACCEPT","CALLS_OFFER_APPLIED","TRANSFERS"
201706,2017-06-01,12465,34,25710,5,31,22,19,2
201706,2017-06-01,12466,35,25039,4,34,29,26,2
201706,2017-06-01,12467,38,24436,6,36,32,28,3
201706,2017-06-01,12468,38,24923,5,37,32,25,2
201706,2017-06-01,12469,34,24371,4,32,25,22,2
201706,2017-06-01,12470,33,25378,5,32,28,22,2
201706,2017-06-01,12471,37,25105,4,34,25,20,3
201706,2017-06-01,12472,37,25938,7,33,28,24,2
201706,2017-06-01,12482,32,24269,6,27,17,10,4
201706,2017-06-01,12483,32,24107,9,28,21,9,3
201706,2017-06-01,12484,30,24842,7,27,18,8,3
201706,2017-06-01,12485,29,25402,7,26,19,12,3
201706,2017-06-01,12486,29,25429,8,26,20,12,3
201706,2017-06-01,12487,33,24917,7,28,22,11,4
201706,2017-06-01,12488,32,24700,9,28,22,9,4
201706,2017-06-01,12489,32,24876,9,29,18,7,4
201706,2017-06-02,12465,37,24506,4,34,27,19,3
201706,2017-06-02,12466,35,24330,4,33,30,22,2
201706,2017-06-02,12467,34,24415,5,31,27,20,2
201706,2017-06-02,12468,40,24096,7,36,28,21,3
201706,2017-06-02,12469,32,25167,4,30,25,22,2
201706,2017-06-02,12470,37,24323,7,34,30,23,2
201706,2017-06-02,12471,33,24678,6,33,24,19,2
201706,2017-06-02,12472,39,24376,7,39,31,28,3
201706,2017-06-02,12473,30,25472,5,27,18,14,2
201706,2017-06-02,12474,35,25522,7,35,24,17,3
201706,2017-06-02,12475,31,24940,5,29,19,15,2
201706,2017-06-02,12476,31,25854,7,31,23,18,2
201706,2017-06-02,12477,35,25104,5,32,26,19,3
201706,2017-06-02,12478,35,25651,8,31,21,14,3
201706,2017-06-02,12479,30,24910,7,30,23,14,2
201706,2017-06-02,12480,35,25382,6,34,29,19,3
201706,2017-06-03,12473,35,24988,7,33,27,19,3
201706,2017-06-03,12474,31,25292,7,28,23,18,2
201706,2017-06-03,12475,31,24210,7,26,19,15,2
201706,2017-06-03,12476,32,25276,7,31,23,17,3
201706,2017-06-03,12477,36,24231,8,34,26,16,3
201706,2017-06-03,12478,33,25034,5,31,26,17,2
201706,2017-06-03,12479,33,24618,8,28,21,15,2
201706,2017-06-03,12480,36,25225,6,31,24,14,4
201706,2017-06-03,12482,28,25367,7,26,20,11,3
201706,2017-06-03,12483,33,24788,8,29,18,11,4
201706,2017-06-03,12484,31,24869,7,28,22,13,3
201706,2017-06-03,12485,29,24267,7,27,19,10,3
201706,2017-06-03,12486,31,25962,9,27,17,9,3
201706,2017-06-03,12487,28,25406,7,25,17,8,3
201706,2017-06-03,12488,33,24662,7,30,20,12,4
201706,2017-06-03,12489,32,24978,8,29,23,13,3
201706,2017-06-04,12465,38,25249,5,35,27,23,2
201706,2017-06-04,12466,39,24035,5,37,28,20,2
201706,2017-06-04,12467,32,25637,4,31,26,21,2
201706,2017-06-04,12468,39,24214,6,35,25,20,2
201706,2017-06-04,12469,36,24205,7,34,27,23,2
201706,2017-06-04,12470,34,24076,6,33,29,24,2
201706,2017-06-04,12471,39,25515,5,39,34,29,3
201706,2017-06-04,12472,37,25783,5,33,28,25,2
201706,2017-06-05,12465,32,24019,3,29,23,17,2
201706,2017-06-05,12466,40,24176,4,40,32,25,2
201706,2017-06-05,12467,39,25574,4,38,33,26,3
201706,2017-06-05,12468,34,25605,4,32,25,21,2
201706,2017-06-05,12469,32,25030,4,30,21,17,2
201706,2017-06-05,12470,36,25582,5,35,28,23,2
201706,2017-06-05,12471,32,24610,4,30,23,17,2
201706,2017-06-05,12472,33,24992,5,33,26,21,2
201706,2017-06-05,12473,30,25897,5,26,21,16,3
201706,2017-06-05,12474,31,25598,8,28,19,12,2
201706,2017-06-05,12475,35,24827,6,31,26,17,3
201706,2017-06-05,12476,34,25985,8,31,20,16,3
201706,2017-06-05,12477,36,25864,9,31,24,14,3
201706,2017-06-05,12478,32,24881,6,29,23,17,3
201706,2017-06-05,12479,35,24061,8,34,27,16,4
201706,2017-06-05,12480,31,25985,7,26,17,13,2
201706,2017-06-05,12482,29,25760,7,26,17,8,3
201706,2017-06-05,12483,28,25354,8,27,21,15,3
201706,2017-06-05,12484,29,25769,7,25,17,9,3
201706,2017-06-05,12485,29,24412,6,26,21,12,3
201706,2017-06-05,12486,31,25024,8,27,17,10,3
201706,2017-06-05,12487,31,25894,9,28,19,9,3
201706,2017-06-05,12488,33,24311,10,28,21,13,4
201706,2017-06-05,12489,31,25605,7,29,21,10,3
201706,2017-06-06,12465,36,24810,6,33,25,20,2
201706,2017-06-06,12466,35,24278,6,33,24,18,2
201706,2017-06-06,12467,32,25467,4,30,22,18,2
201706,2017-06-06,12468,32,25329,5,32,27,21,2
201706,2017-06-06,12469,36,25573,4,33,27,19,2
201706,2017-06-06,12470,33,25068,4,31,28,21,2
201706,2017-06-06,12471,40,25365,7,36,28,24,2
201706,2017-06-06,12472,33,24771,4,32,22,17,2
201706,2017-06-06,12473,31,24040,7,29,22,18,3
201706,2017-06-06,12474,33,25196,5,29,20,13,3
201706,2017-06-06,12475,36,24484,5,35,26,18,3
201706,2017-06-06,12476,32,25331,6,28,20,16,3
201706,2017-06-06,12477,32,25384,7,28,18,13,3
201706,2017-06-06,12478,35,25535,7,32,26,18,2
201706,2017-06-06,12479,35,24199,7,33,26,19,3
201706,2017-06-06,12480,34,25768,6,32,26,18,3
201706,2017-06-06,12482,33,24517,8,31,24,14,3
201706,2017-06-06,12483,29,24563,8,25,19,9,3
201706,2017-06-06,12484,28,24515,8,25,20,9,3
201706,2017-06-06,12485,32,25985,9,30,24,15,4
201706,2017-06-06,12486,32,25062,6,30,18,12,4
201706,2017-06-06,12487,33,25082,9,29,19,11,3
201706,2017-06-06,12488,30,24396,8,28,17,10,3
201706,2017-06-06,12489,30,24614,7,26,20,8,3
201706,2017-06-07,12473,33,24129,6,32,24,17,3
201706,2017-06-07,12474,30,24354,6,27,20,15,2
201706,2017-06-07,12475,35,24753,7,32,27,17,3
201706,2017-06-07,12476,36,25456,5,31,25,17,3
201706,2017-06-07,12477,33,24569,8,31,25,18,3
201706,2017-06-07,12478,33,24258,7,29,23,15,3
201706,2017-06-07,12479,32,25232,7,28,22,16,3
201706,2017-06-07,12480,33,25329,6,29,25,19,3
201706,2017-06-07,12482,28,25789,6,26,20,10,3
201706,2017-06-07,12483,31,24294,9,27,20,10,4
201706,2017-06-07,12484,33,24591,8,28,18,12,3
201706,2017-06-07,12485,33,24936,8,28,22,10,3
201706,2017-06-07,12486,28,24854,6,27,20,13,3
201706,2017-06-07,12487,28,25335,8,26,19,9,3
201706,2017-06-07,12488,31,24646,7,29,20,13,3
201706,2017-06-07,12489,33,25792,8,31,20,11,4
201706,2017-06-08,12465,40,25576,4,37,28,24,2
201706,2017-06-08,12466,32,25209,4,30,22,19,2
201706,2017-06-08,12467,37,25358,6,37,33,29,2
201706,2017-06-08,12468,40,24546,5,39,31,24,2
201706,2017-06-08,12469,38,24312,7,38,29,21,2
201706,2017-06-08,12470,37,24717,6,35,29,21,2
201706,2017-06-08,12471,32,25793,6,29,22,19,2
201706,2017-06-08,12482,30,25994,6,28,20,10,3
201706,2017-06-08,12483,31,25647,8,28,17,7,3
201706,2017-06-08,12484,31,24408,7,28,22,15,4
201706,2017-06-08,12485,30,25295,7,27,20,9,3
201706,2017-06-08,12486,29,25525,7,25,18,9,3
201706,2017-06-08,12487,32,25375,9,29,19,10,4
201706,2017-06-08,12488,29,25598,8,26,18,10,3
201706,2017-06-08,12489,29,25457,6,27,21,11,3
201706,2017-06-09,12465,34,24067,5,32,24,18,2
201706,2017-06-09,12466,32,25552,3,29,21,19,2
201706,2017-06-09,12467,36,25843,6,33,25,18,2
201706,2017-06-09,12468,32,25796,4,29,25,18,2
201706,2017-06-09,12469,37,25009,6,33,28,20,2
201706,2017-06-09,12470,36,24522,4,35,28,24,3
201706,2017-06-09,12471,32,24953,5,32,27,22,2
201706,2017-06-09,12472,36,25114,5,33,26,20,3
201706,2017-06-09,12473,35,24060,8,30,22,14,4
201706,2017-06-09,12474,36,25146,6,33,23,15,3
201706,2017-06-09,12475,31,25656,6,31,21,13,2
201706,2017-06-09,12476,36,25151,8,34,28,20,3
201706,2017-06-09,12477,34,24261,8,29,24,16,3
201706,2017-06-09,12478,31,25906,6,27,20,15,3
201706,2017-06-09,12479,35,25156,7,33,28,19,3
